article_id,keywords tuple
1,"[Traffic safety, Traffic law, Road safety, Provincial government, Traffic accident, Law enforcement, Police, Driver's license, Vehicle registration, Speed limit, Drunk driving, Road signs, Traffic rules, Public awareness, Community involvement, Traffic congestion, Highway patrol, Traffic violation, Fines and penalties]"
2,"[đường_thủy, an_toàn_giao_thông, Đồng_Tháp, kiểm_tra, xử_lý_vi_phạm]"
3,"[tai_xe, xuat_phat, van_han_dong, cong_an, vi_pham_hanh_chinh, danh_vien, trung_tam_van_hoa, thach_thuc, doi_luan, giao_thong, vinh_phuc, binh_xuyen]"
4,"[CSGT, truy quét, xe quá tải, ô nhiễm môi trường, an toàn giao thông, Thanh Hóa]"
5,"[sạt lở, giao thông, mưa lớn, đường mới, Quảng Ninh]"
6,"[CSGT, tai nạn giao thông, trật tự ATGT, Đắk Lắk, tuyên truyền pháp luật, xử lý vi phạm, tuần tra khép kín, lực lượng chức năng, nỗ lực kéo giảm TNGT]"
7,"[Bình Định: Yêu cầu gắn trách nhiệm người đứng đầu với kết quả đảm bảo ATGT, trách_nhiệm, người_đứng_hậu, đảm_bảo_ATGT, Bình_Dịnh, an_toàn_giao_thông, tai_nạn_giao_thông]"
8,"[CSGT, đèn LED, vi phạm giao thông, xử lý, an toàn giao thông]"
9,"[Tai nạn ô tô, rượt đuổi, va chạm, lật xe, người đi đường khiếp sợ, điều tra, xử lý]"
10,"[Tài xế Mazda, Vành đai 3, lái xe đi vào làn khẩn cấp, không nhường đường xe ưu tiên, phạt tiền và tước giấy phép lái xe]"
11,"[camera giám sát, phạt nguội, tai nạn giao thông, hệ thống giao thông thông minh, trật tự an toàn giao thông]"
12,"[hư_hỏng, QL19, xe_chở_vật_liệu, khắc_phục, giao_thông]"
13,"[CSGT Bình Định, xử lý vi phạm giao thông, tai nạn giao thông, nồng độ cồn, ma túy, tốc độ quy định, tải trọng xe, giấy phép lái xe giả, điện thoại khi điều khiển phương tiện, đèn tín hiệu giao thông]"
14,"[Lai Châu, sạt lở đất, ách tắc giao thông, mưa lớn, QL4H, Công ty Cổ phần bảo trì đường bộ 1 Lai Châu]"
15,"[tai_nạn_giao_thông, đường_cao_tốc, nguyên_nhân, an_toàn_giao_thông, cảnh_sát_giao_thông]"
16,"[Sát lở đất, ách tắc giao thông, mưa lớn, QL3, Bắc Kạn, Thái Nguyên, đường Hồ Chí Minh, BOT, ATGT, Sở GTVT]"
17,"[ATGT, Vận tải, Kinh doanh, Quy định, Bộ phận an toàn, Tài xế, Phương tiện, Giao thông, An toàn giao thông, Quản lý vận tải, Người lái xe, Hợp tác xã, Doanh nghiệp, Luật Đường bộ, Thông tư 12/2020]"
18,"[Alejandro Garnacho, CLB Al-Ittihad, Saudi Arabia, Cristiano Ronaldo, MU]"
19,"[Chảo lửa Trung Đông, Israel, Lebanon, Nga, Iran, thương vong, tấn công, phản ứng quốc tế]"
20,"[Thủ tướng Modi, Ấn Độ, kinh tế, tăng trưởng, phát triển, ngân sách, đầu tư, lao động trẻ, việc làm, công nghiệp, kỹ năng]"
21,"[NESCAFÉ, drone show, sự kiện, hoạt động tương tác, cà phê, thương hiệu, Nestlé Việt Nam, chương trình khuyến mãi, trải nghiệm khách hàng]"
22,"[Thị trường, Trung Quốc, Nga, Khí đốt, Moscow]"
23,"[xăng, dầu, Brent, WTI, OPEC, Venezuela, Gaza, Israel, Lebanon, Trung Quốc]"
24,"[LHQ, Trung Phi, Vũ khí, Cấm vận, Ngoại giao]"
25,"[Chảo lửa Trung Đông, Hezbollah, Israel, Mỹ, Trung Đông]"
26,"[Venezuela, bầu cử, Chile, nhân viên ngoại giao, trục xuất]"
27,"[Sudan, hòa đàm, Mỹ, LHQ, xung đột]"
28,"[Vietnam, India, PM Pham Minh Chinh, Narendra Modi, State visit, Bilateral cooperation, Strategic partnership, Diplomacy, International relations]"
29,"[dịch_vụ_công, biển_số_xe, VNeID, Thông_tư_28/2024/TT-BCA, đăng_ký_xe_lần_dầu]"
30,"[cải_cách_tư_pháp, Chủ_tịch_nước_Tô_Lâm, Bộ_Chính_trị, Ban_Nội_chính_Trung_ương]"
31,"[di sản văn hóa, quản lý, bảo tồn, phát triển kinh tế-xã hội, đô thị hóa, công nghệ]"
32,"[Trần Tùng Anh, cuộc thi âm nhạc, Trung Quốc, giải Đặc biệt, Opera lứa tuổi thanh niên]"
33,"[Lãnh đạo nữ, Phát triển bền vững, Bình đẳng giới, Đa dạng và hòa nhập, Nâng cao năng lực, Phụ nữ lãnh đạo, Tăng tỷ lệ đại diện, Quan hệ đối tác chiến lược]"
34,"[lũ quét, y tế lưu động, khám chữa bệnh, thiên tai, dịch tễ học]"
